|Expt	|Run	|Epoch	$RunName	#NCorrect	#RewPred	#Rew	#RPE	#PerTrlMSec
0	22	6	2024-02-29-seq3x5pgi_49u_good_Base	2.977	0.3026	0.987	0.6913	63.78
0	23	0	2024-02-29-seq3x5pgi_49u_good_Base	0.9688	0.1024	0.1172	0.0152	0
0	23	1	2024-02-29-seq3x5pgi_49u_good_Base	0.8594	0.1054	0.1146	0.009343	63.45
0	23	2	2024-02-29-seq3x5pgi_49u_good_Base	0.5703	0.1063	0.09115	-0.01501	60.59
0	23	3	2024-02-29-seq3x5pgi_49u_good_Base	0.7031	0.1072	0.1224	0.01554	63.14
0	23	4	2024-02-29-seq3x5pgi_49u_good_Base	0.9609	0.1117	0.1667	0.05565	58.92
0	23	5	2024-02-29-seq3x5pgi_49u_good_Base	0.8516	0.1156	0.1432	0.028	62.41
0	23	6	2024-02-29-seq3x5pgi_49u_good_Base	1.133	0.1196	0.2135	0.09491	62.42
0	23	7	2024-02-29-seq3x5pgi_49u_good_Base	1.367	0.1289	0.237	0.1092	62.48
0	23	8	2024-02-29-seq3x5pgi_49u_good_Base	1.484	0.141	0.3255	0.1864	63.19
0	23	9	2024-02-29-seq3x5pgi_49u_good_Base	1.812	0.1603	0.4323	0.2748	61.42
0	23	10	2024-02-29-seq3x5pgi_49u_good_Base	1.961	0.1838	0.4792	0.2984	61.75
0	23	11	2024-02-29-seq3x5pgi_49u_good_Base	1.984	0.2074	0.474	0.2692	63.02
